Book,Auther,Publication_date,Publisher,Language,Country,,,
Charlotte's Web,E. B. White,"October 15, 1952",Harper & Brothers,English,United States,,,
The Hobbit,J. R. R. Tolkien,"September 21, 1937",George Allen & Unwin,English,United Kingdom,,,
The Little Prince,Antoine de Saint-Exupéry,"April, 1943",Gallimard,French,France,,,
Winnie-the-Pooh,A. A. Milne,"October 14, 1926",Methuen & Co. Ltd.,English,United Kingdom,,,
Goodnight Moon,Margaret Wise Brown,"September 3, 1947",Harper & Brothers,English,United States,,,
All-of-a-Kind Family,Sydney Taylor,1951,Follett Publishing Company,English,United States,,,
The Phantom Tollbooth,Norton Juster,"August 12, 1961","Epstein & Carroll, distributed",English,United States,,,
Corduroy,Don Freeman,1968,Viking Press,English,United States,,,
Sylvester and the Magic Pebble,William Steig,"September 24, 1969",Windmill Books,English,United States,,,
The BFG,Roald Dahl,"January 14, 1982",Jonathan Cape,English,United Kingdom,,,
Harry Potter and the Philosopher's Stone ,J. K. Rowling,"June 26, 1997 ",Bloomsbury,English,United Kingdom,,,
The Giver ,Lois Lowry,1993 ,Houghton Mifflin,English,United States,,,
,,,,,,,,
,,,,,,,,
